Laura Wilson,56,102666,751,44604,0,Widowed,Doctorate,Student
Michelle Moore,69,116622,786,37578,0,Single,High School,Unemployed
John Brown,46,77656,638,46455,1,Single,Bachelor Degree,Student
Michael Wilson,32,24633,777,47357,1,Single,Master Degree,Employed
Sarah Wilson,60,37304,522,2482,0,Married,Doctorate,Student
Sarah Wilson,25,127573,308,34364,1,Divorced,Associate Degree,Self-Employed
Robert Brown,38,117820,352,14082,0,Widowed,Bachelor Degree,Unemployed
Sarah Moore,56,66546,376,20454,1,Widowed,Associate Degree,Unemployed
Sarah Moore,36,27008,802,39765,0,Divorced,High School,Self-Employed
Jane Taylor,40,68291,615,46813,0,Widowed,Bachelor Degree,Self-Employed
Robert Moore,28,47405,464,44850,0,Single,Doctorate,Unemployed
Robert Wilson,28,137069,578,15878,1,Widowed,Associate Degree,Self-Employed
Michelle Moore,41,56386,326,44132,0,Divorced,Associate Degree,Student
Laura Moore,53,110909,369,4779,1,Married,High School,Student
Emily Moore,57,40827,517,28424,0,Married,High School,Student
David Johnson,41,53040,664,17557,1,Divorced,Master Degree,Student
Jane Johnson,20,80354,605,7812,0,Widowed,Master Degree,Employed
Robert Wilson,39,98543,423,30853,1,Widowed,High School,Employed
Daniel Wilson,19,38157,318,48708,0,Married,Master Degree,Employed
Robert Williams,41,117693,556,35637,0,Widowed,Associate Degree,Employed
Michael Wilson,61,55315,595,21414,0,Married,High School,Student
Jane Williams,47,55932,321,16692,0,Divorced,Bachelor Degree,Student
John Johnson,55,41164,749,17950,0,Divorced,High School,Self-Employed
Daniel Davis,19,34414,849,5932,0,Widowed,Doctorate,Employed
David Taylor,38,147597,347,31512,1,Single,Doctorate,Employed
Laura Smith,50,34327,482,33955,0,Single,High School,Unemployed
Michelle Williams,29,133880,734,13675,1,Married,Bachelor Degree,Self-Employed
Sarah Smith,39,20946,406,568,0,Divorced,High School,Student
Robert Taylor,61,34693,487,10795,0,Married,Bachelor Degree,Self-Employed
Emily Miller,42,47241,385,7274,0,Divorced,Associate Degree,Self-Employed
Laura Miller,66,135194,755,12690,1,Married,Associate Degree,Unemployed
Michelle Williams,44,115790,436,31786,1,Married,Bachelor Degree,Unemployed
Laura Williams,59,35540,635,11289,0,Married,Master Degree,Self-Employed
John Williams,45,92255,768,29414,0,Widowed,Associate Degree,Employed
John Smith,33,84757,702,32444,0,Single,Doctorate,Student
David Moore,32,61203,839,7391,0,Divorced,High School,Unemployed
John Davis,64,45081,371,22477,1,Married,Master Degree,Unemployed
Sarah Miller,68,81861,323,30851,0,Single,Doctorate,Student
Jane Davis,61,31350,784,10816,0,Married,High School,Unemployed
Michael Johnson,69,75512,355,33707,0,Married,Doctorate,Self-Employed
Jane Johnson,20,76809,522,26154,1,Divorced,Master Degree,Student
Robert Brown,54,121894,478,7966,0,Widowed,Bachelor Degree,Employed
Michelle Miller,68,117557,733,18137,0,Married,High School,Unemployed
Jane Smith,24,62832,749,3709,0,Divorced,Doctorate,Unemployed
Sarah Taylor,38,48369,791,36817,0,Widowed,Doctorate,Self-Employed
Jane Brown,26,51728,488,3578,0,Widowed,Master Degree,Employed
Michelle Taylor,56,37576,719,27799,0,Single,Master Degree,Unemployed
Michael Davis,35,49001,548,36758,0,Single,Master Degree,Student
Robert Moore,21,147625,463,4043,1,Married,Bachelor Degree,Student
Jane Taylor,42,103384,554,29591,0,Single,Associate Degree,Self-Employed
Emily Taylor,31,20390,775,29447,0,Divorced,Doctorate,Self-Employed
Sarah Smith,67,107535,716,22564,1,Divorced,Bachelor Degree,Unemployed
Laura Brown,26,65436,469,7251,0,Single,Doctorate,Self-Employed
Jane Jones,43,31569,616,15406,0,Divorced,Bachelor Degree,Student
John Davis,19,33029,473,18596,0,Divorced,High School,Self-Employed
Michelle Jones,37,42490,769,14925,0,Married,Associate Degree,Student
David Davis,45,65875,644,12311,1,Married,Doctorate,Unemployed
Laura Wilson,64,143552,744,18078,1,Divorced,Master Degree,Student
Emily Williams,24,120864,317,7281,1,Single,Associate Degree,Self-Employed
Emily Brown,61,25867,369,21790,0,Divorced,Doctorate,Student
Daniel Johnson,25,100820,637,16063,0,Widowed,High School,Student
Michelle Smith,64,119515,826,26388,0,Widowed,Doctorate,Employed
Daniel Wilson,52,29121,755,27991,0,Widowed,Doctorate,Employed
John Wilson,31,21539,568,48065,0,Married,Doctorate,Unemployed
Daniel Taylor,34,111024,487,32852,0,Single,Associate Degree,Student
Sarah Williams,53,37027,828,22176,0,Divorced,Doctorate,Student
Michael Taylor,67,147402,733,800,1,Single,Master Degree,Student
Michelle Moore,57,94229,587,37963,0,Single,Bachelor Degree,Employed
Michael Brown,21,28921,798,45442,0,Single,Master Degree,Student
Laura Smith,19,70435,740,49490,1,Widowed,High School,Employed
Michelle Davis,23,142368,602,21508,0,Divorced,Associate Degree,Unemployed
Sarah Jones,59,30310,386,20721,0,Married,Bachelor Degree,Student
David Brown,21,83965,737,49929,0,Single,Associate Degree,Student
Robert Davis,46,142033,840,29834,0,Single,Associate Degree,Self-Employed
Laura Davis,35,131048,321,44018,1,Widowed,Doctorate,Employed
Laura Moore,43,116444,816,20801,0,Widowed,Master Degree,Self-Employed
Robert Johnson,61,89922,802,7807,1,Divorced,Bachelor Degree,Unemployed
Emily Johnson,51,117799,766,29751,0,Married,Doctorate,Employed
Jane Moore,27,113948,400,47086,0,Married,Bachelor Degree,Student
Michael Davis,53,102839,440,34657,1,Widowed,Master Degree,Student
David Brown,31,32242,437,9382,0,Divorced,Doctorate,Student
Michael Taylor,48,137027,527,10540,0,Single,Bachelor Degree,Student
Sarah Wilson,65,132561,580,6641,0,Divorced,Doctorate,Unemployed
Michelle Jones,32,28947,730,46378,0,Married,Associate Degree,Student
Daniel Miller,25,132250,339,6469,0,Widowed,High School,Student
Daniel Miller,31,91466,818,13662,0,Single,Bachelor Degree,Student
Michael Wilson,40,123706,510,9631,1,Single,Master Degree,Self-Employed
Jane Jones,57,140351,601,5537,0,Married,Bachelor Degree,Unemployed
David Davis,38,144749,385,22878,1,Single,High School,Employed
David Williams,33,81816,696,15193,1,Divorced,Bachelor Degree,Unemployed
David Moore,62,68785,552,27126,1,Married,Bachelor Degree,Unemployed
Michael Davis,35,139963,832,2951,0,Married,Bachelor Degree,Unemployed
Michael Davis,64,20507,680,524,0,Single,Master Degree,Student
David Williams,41,86972,743,6462,1,Married,High School,Self-Employed
Daniel Jones,43,47151,332,35824,0,Widowed,High School,Self-Employed
John Jones,42,31618,559,31915,0,Divorced,Master Degree,Self-Employed
Daniel Taylor,62,94286,533,24516,0,Married,Bachelor Degree,Self-Employed
Jane Wilson,58,36122,814,16944,0,Widowed,Bachelor Degree,Employed
John Brown,46,27354,607,40943,0,Single,High School,Self-Employed
David Moore,32,129598,369,17006,0,Married,Bachelor Degree,Student
Jane Jones,62,50979,753,38884,0,Widowed,Associate Degree,Student
Daniel Davis,18,106436,738,43562,1,Single,Bachelor Degree,Self-Employed
John Johnson,42,99376,663,32193,1,Widowed,Bachelor Degree,Employed
Laura Williams,24,72774,780,47278,1,Single,Doctorate,Self-Employed
Sarah Smith,26,122703,443,24748,0,Divorced,High School,Student
Robert Smith,41,25037,323,46662,0,Married,High School,Student
Sarah Davis,18,48633,724,43190,0,Divorced,Associate Degree,Student
David Wilson,61,44495,474,4589,1,Divorced,Associate Degree,Unemployed
Sarah Smith,25,84550,624,47716,1,Married,Associate Degree,Student
Daniel Wilson,41,101384,647,2972,0,Divorced,High School,Self-Employed
Michelle Jones,28,56483,317,43737,0,Divorced,Doctorate,Student
Jane Wilson,68,133181,343,40718,1,Widowed,Doctorate,Employed
Daniel Miller,34,93373,454,36232,0,Single,Master Degree,Unemployed
Daniel Johnson,25,54069,676,8604,0,Divorced,High School,Employed
Laura Williams,52,27370,701,18194,0,Married,Master Degree,Student
Sarah Jones,52,139873,524,25230,0,Widowed,Bachelor Degree,Unemployed
Emily Taylor,50,136843,516,35480,1,Single,Associate Degree,Unemployed
Laura Moore,22,91947,330,9954,0,Divorced,Master Degree,Unemployed
David Wilson,59,59133,358,40060,1,Divorced,Master Degree,Student
David Davis,56,116035,652,10054,0,Married,High School,Employed
Michelle Smith,58,115761,744,26013,1,Divorced,Associate Degree,Student
Jane Davis,45,133753,534,41971,1,Married,Associate Degree,Unemployed
Robert Johnson,24,20692,406,46487,1,Divorced,Doctorate,Student
John Taylor,26,48926,490,31485,1,Divorced,Master Degree,Unemployed
John Moore,25,119782,829,25262,0,Married,Doctorate,Unemployed
Michelle Taylor,29,124700,544,48667,0,Single,Master Degree,Unemployed
Michelle Moore,51,93984,375,40928,0,Widowed,High School,Student
Sarah Williams,50,63390,846,2202,0,Married,High School,Student
Emily Brown,65,69593,566,17538,1,Single,Bachelor Degree,Unemployed
David Davis,40,95609,616,22719,0,Single,Master Degree,Self-Employed
Sarah Taylor,41,120950,420,4771,0,Married,Master Degree,Employed
Laura Wilson,54,25209,324,27897,1,Widowed,Associate Degree,Unemployed
John Moore,52,146700,731,9455,0,Married,Associate Degree,Unemployed
David Smith,61,26533,459,30102,1,Divorced,Doctorate,Unemployed
Daniel Miller,57,106597,413,44727,1,Divorced,Bachelor Degree,Unemployed
John Taylor,39,27211,801,32045,0,Single,High School,Unemployed
David Taylor,44,29927,465,23616,1,Divorced,Master Degree,Self-Employed
Michelle Brown,52,97463,474,7174,1,Widowed,Doctorate,Student
Laura Miller,18,137333,300,17969,1,Married,Bachelor Degree,Self-Employed
Emily Wilson,52,44594,385,5946,0,Widowed,Associate Degree,Unemployed
Jane Moore,54,94852,619,21260,0,Single,Bachelor Degree,Unemployed
Jane Wilson,64,97713,700,2463,1,Divorced,Doctorate,Unemployed
Michelle Smith,31,96382,681,43245,1,Divorced,High School,Student
Robert Moore,20,27933,617,10966,0,Married,Associate Degree,Employed
Daniel Davis,18,123780,549,27762,0,Widowed,Associate Degree,Employed
Michelle Wilson,22,132157,824,5677,0,Widowed,High School,Self-Employed
Sarah Jones,43,60696,555,11660,0,Married,Associate Degree,Self-Employed
Jane Johnson,31,85449,606,37840,0,Divorced,Doctorate,Employed
David Johnson,56,87616,443,8043,1,Single,Associate Degree,Unemployed
Sarah Smith,44,26089,690,42175,1,Single,Master Degree,Student
David Taylor,26,76548,468,17126,0,Married,Bachelor Degree,Self-Employed
Robert Miller,32,46123,597,39778,0,Married,Doctorate,Student
Michael Jones,32,27797,532,30107,0,Married,High School,Unemployed
Michelle Johnson,43,70013,570,20799,0,Widowed,Doctorate,Unemployed
Laura Jones,59,28346,359,17721,0,Divorced,Master Degree,Self-Employed
Sarah Davis,30,105414,595,3823,0,Divorced,Associate Degree,Employed
Sarah Taylor,68,53672,766,42805,1,Married,Associate Degree,Employed
Michelle Wilson,49,37653,534,11115,0,Single,Doctorate,Employed
Michelle Davis,56,69556,533,1932,0,Widowed,Associate Degree,Unemployed
Robert Brown,66,143723,667,23738,1,Married,Associate Degree,Unemployed
Emily Taylor,69,128278,531,40923,0,Widowed,Master Degree,Student
Jane Davis,49,46140,790,8931,0,Married,High School,Student
Daniel Davis,21,21184,802,8830,0,Widowed,Bachelor Degree,Student
David Jones,47,143626,680,44653,1,Single,Doctorate,Unemployed
John Johnson,54,54493,727,9111,0,Single,High School,Employed
Sarah Brown,40,64148,663,14372,0,Single,Bachelor Degree,Unemployed
Michael Taylor,56,44846,501,49955,0,Single,High School,Student
John Davis,62,131361,445,35430,1,Divorced,Doctorate,Student
Laura Jones,32,42195,756,6986,0,Divorced,Master Degree,Student
Michelle Brown,60,25606,434,37370,0,Widowed,Master Degree,Student
David Miller,46,23956,563,23758,0,Married,Master Degree,Self-Employed
David Smith,53,36555,363,49216,0,Divorced,High School,Student
Michael Brown,30,110385,790,43686,0,Married,Doctorate,Unemployed
David Johnson,49,38690,340,1668,0,Widowed,Associate Degree,Self-Employed
Laura Davis,24,78502,595,915,0,Married,Associate Degree,Employed
Emily Smith,68,144586,302,11405,1,Single,Master Degree,Unemployed
Michael Wilson,39,68849,409,46700,0,Single,High School,Unemployed
Michelle Moore,45,46347,520,5743,1,Divorced,Associate Degree,Employed
John Taylor,19,118725,669,17033,1,Widowed,High School,Unemployed
David Smith,59,123844,667,27520,1,Divorced,Doctorate,Self-Employed
Robert Williams,62,111321,735,23408,0,Divorced,Master Degree,Employed
Emily Johnson,23,69056,303,6399,1,Divorced,Bachelor Degree,Self-Employed
Sarah Williams,45,83851,543,34106,1,Widowed,Master Degree,Student
Michelle Wilson,45,118234,465,39412,1,Single,Bachelor Degree,Employed
Laura Williams,61,101502,325,10388,1,Single,Associate Degree,Self-Employed
Daniel Davis,61,116633,694,45799,0,Divorced,Bachelor Degree,Student
Michael Johnson,37,101418,773,16435,0,Married,High School,Self-Employed
Daniel Taylor,47,90211,316,7966,0,Single,Bachelor Degree,Self-Employed
John Taylor,28,61850,391,15595,1,Single,Associate Degree,Unemployed
Jane Johnson,45,98545,782,11693,0,Widowed,Associate Degree,Student
Daniel Johnson,42,47843,842,1820,0,Single,Master Degree,Unemployed
Sarah Moore,56,82320,504,46532,0,Single,Associate Degree,Student
David Jones,50,49793,801,12727,0,Divorced,High School,Student
David Davis,18,59516,699,18407,0,Divorced,Bachelor Degree,Unemployed
Laura Brown,44,124407,506,38502,0,Widowed,Doctorate,Unemployed
Laura Jones,69,149045,445,45338,1,Widowed,Associate Degree,Unemployed
Laura Smith,30,37857,400,39412,0,Married,Bachelor Degree,Student
Laura Davis,58,39627,540,1052,0,Single,Master Degree,Student
John Brown,20,81822,462,20640,0,Divorced,Doctorate,Student
Jane Moore,56,104101,472,20555,0,Divorced,Master Degree,Student
Michael Jones,23,111561,801,49237,1,Single,High School,Student
Michael Brown,25,72248,846,33867,0,Widowed,Master Degree,Student
Emily Johnson,44,75798,583,15598,0,Divorced,Bachelor Degree,Self-Employed
Emily Miller,26,113368,658,24561,0,Widowed,Doctorate,Unemployed
David Williams,54,64116,680,31554,1,Divorced,Master Degree,Student
David Smith,50,95318,832,15300,0,Divorced,Master Degree,Self-Employed
Daniel Wilson,68,124186,462,42624,1,Married,High School,Employed
Michael Jones,59,147119,606,46138,1,Divorced,Bachelor Degree,Self-Employed
John Smith,61,107902,638,45692,1,Single,Master Degree,Unemployed
John Brown,41,48557,354,26079,0,Single,Bachelor Degree,Employed
Jane Brown,32,91334,632,2482,0,Single,Associate Degree,Student
John Taylor,49,95163,426,41098,1,Widowed,High School,Unemployed
Michael Jones,49,126719,542,36265,0,Divorced,High School,Employed
Michelle Jones,41,143099,708,17570,0,Widowed,High School,Self-Employed
Michael Jones,58,98002,802,31386,0,Married,Bachelor Degree,Employed
David Johnson,69,62614,602,44874,1,Divorced,Master Degree,Unemployed
Emily Moore,66,32720,763,35027,0,Single,Master Degree,Employed
Emily Wilson,66,77608,534,40291,0,Married,Bachelor Degree,Self-Employed
Michelle Williams,69,127449,337,30013,1,Married,Bachelor Degree,Employed
Sarah Brown,29,122828,438,23092,1,Divorced,Associate Degree,Self-Employed
Emily Brown,56,146613,494,47160,1,Single,Doctorate,Employed
Robert Jones,19,92095,826,24118,0,Widowed,Doctorate,Self-Employed
Robert Wilson,20,125924,300,15909,1,Divorced,High School,Self-Employed
Sarah Jones,66,104694,395,10029,1,Single,Master Degree,Self-Employed
David Moore,54,116452,712,24654,0,Married,High School,Student
John Miller,66,107593,837,33382,1,Divorced,Master Degree,Self-Employed
Daniel Smith,34,55892,728,45417,0,Married,Master Degree,Unemployed
Michael Johnson,66,126975,534,17452,1,Single,Associate Degree,Self-Employed
Sarah Brown,19,97242,648,16201,1,Widowed,Bachelor Degree,Student
Jane Miller,19,136041,780,10245,0,Widowed,Bachelor Degree,Student
Laura Jones,45,146202,695,24835,1,Married,Bachelor Degree,Unemployed
Michelle Brown,40,97606,650,3189,0,Married,Doctorate,Self-Employed
Jane Brown,54,143769,715,3488,0,Married,Bachelor Degree,Student
Robert Smith,49,138542,350,36419,1,Divorced,Doctorate,Student
Jane Miller,50,126438,380,44987,1,Single,High School,Employed
Jane Moore,18,20924,335,48926,0,Married,Doctorate,Employed
John Wilson,36,71322,366,9513,0,Married,Master Degree,Unemployed
Daniel Davis,19,46478,780,39613,0,Married,Associate Degree,Employed
David Taylor,61,91042,767,4074,0,Widowed,Associate Degree,Self-Employed
Emily Smith,43,66418,441,32980,0,Married,Master Degree,Employed
Sarah Miller,49,82217,655,8338,0,Single,High School,Student
Michelle Moore,23,120699,770,28863,0,Widowed,Associate Degree,Unemployed
Michelle Johnson,49,110140,738,31868,0,Single,Master Degree,Employed
Jane Moore,21,100846,830,32728,1,Widowed,Associate Degree,Unemployed
Sarah Smith,28,93762,426,46597,1,Widowed,Doctorate,Self-Employed
Jane Williams,34,31781,504,29139,0,Divorced,Associate Degree,Self-Employed
Michael Williams,55,25515,328,15323,0,Widowed,Doctorate,Employed
Sarah Johnson,41,137358,744,24010,0,Widowed,Doctorate,Employed
Michael Brown,22,56133,763,38833,0,Single,Associate Degree,Employed
Jane Brown,69,102508,579,4935,0,Single,Associate Degree,Student
Emily Jones,51,117628,450,38918,1,Married,Doctorate,Self-Employed
Robert Davis,23,96946,539,21053,1,Divorced,Associate Degree,Student
John Wilson,39,105058,565,7936,0,Widowed,High School,Employed
Sarah Smith,28,29095,404,36976,0,Divorced,Bachelor Degree,Self-Employed
Sarah Johnson,65,108583,732,47719,0,Married,Bachelor Degree,Student
Daniel Miller,33,40470,796,34977,0,Divorced,Master Degree,Student
Robert Johnson,50,63129,739,24744,1,Widowed,Bachelor Degree,Unemployed
Michelle Wilson,26,28531,457,43221,0,Single,High School,Student
Emily Taylor,23,57038,471,2192,1,Divorced,Bachelor Degree,Employed
Emily Smith,33,107939,793,16023,0,Widowed,Bachelor Degree,Employed
Daniel Taylor,46,62674,610,32826,0,Married,High School,Student
Laura Davis,20,147572,702,47590,0,Widowed,Doctorate,Unemployed
Daniel Davis,37,114658,762,42705,0,Divorced,Bachelor Degree,Unemployed
Michelle Jones,53,102476,666,625,0,Widowed,Master Degree,Unemployed
David Miller,36,49831,849,46212,0,Widowed,Bachelor Degree,Student
Robert Taylor,43,77174,554,1699,0,Divorced,Bachelor Degree,Student
Laura Wilson,20,31279,507,39360,0,Divorced,High School,Unemployed
David Johnson,36,58220,749,16875,0,Married,High School,Student
Sarah Brown,37,80610,394,3211,0,Widowed,Master Degree,Self-Employed
Robert Williams,49,72719,777,32937,0,Single,Associate Degree,Employed
Michelle Smith,24,144936,489,28522,1,Divorced,High School,Student
Jane Davis,69,73051,783,9682,0,Widowed,Associate Degree,Self-Employed
Sarah Moore,58,92013,835,28141,0,Single,Master Degree,Student
Jane Moore,50,76652,722,30030,0,Single,Bachelor Degree,Self-Employed
Laura Jones,57,85524,432,23112,0,Widowed,Bachelor Degree,Unemployed
Michael Davis,56,102936,354,6495,0,Widowed,Associate Degree,Employed
Michelle Jones,35,26470,809,41450,0,Widowed,Master Degree,Student
David Williams,57,87598,840,38770,0,Single,Master Degree,Self-Employed
Jane Taylor,18,61798,709,13420,0,Widowed,High School,Self-Employed
